comparison,method,n_test_years,first_test_year,last_test_year,test_years,bias,mae,rmse,crps,interval_coverage,interval_width,payout_bias_usd,payout_mae_usd,payout_rmse_usd
expanding + recent_10 + recent_20 + temperature_trend,expanding,6,2020,2025,2020;2021;2022;2023;2024;2025,44.967079432523974,52.15526125070581,70.55594250348109,41.85344213102598,0.6666666666666666,137.91050000000004,1801.8989718614728,1801.8989718614728,1895.1807858560026
expanding + recent_10 + recent_20 + temperature_trend,recent_10,6,2020,2025,2020;2021;2022;2023;2024;2025,12.511999999999993,46.40800000000004,57.632311041637074,34.94040000000002,0.6666666666666666,107.60999999999996,170.12499999999946,605.5250000000009,690.7347853916164
expanding + recent_10 + recent_20 + temperature_trend,recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,37.79549999999998,50.226,66.85497160645572,39.174225,0.8333333333333334,143.00850000000003,1417.0750000000005,1417.0750000000005,1518.6489509593728
expanding + recent_10 + recent_20 + temperature_trend,temperature_trend,6,2020,2025,2020;2021;2022;2023;2024;2025,-10.005231943315353,51.3753652349503,58.25636815739334,36.29837107667038,0.6666666666666666,104.63169308786844,-177.1144798365224,355.77872296985305,660.0572268015073
expanding + recent_10,expanding,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,45.41180850816915,52.61591835665401,64.14564922567635,40.59626194214526,0.5625,117.28331250000004,1401.9363888989305,1520.84263889893,1596.4351468552663
expanding + recent_10,recent_10,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,24.374437500000006,44.73956250000002,53.5357839375917,34.31821875000001,0.6875,103.8999375,472.5281250000003,889.8281250000006,987.3122542254557
expanding + recent_20,expanding,6,2020,2025,2020;2021;2022;2023;2024;2025,44.967079432523974,52.15526125070581,70.55594250348109,41.85344213102598,0.6666666666666666,137.91050000000004,1801.8989718614728,1801.8989718614728,1895.1807858560026
expanding + recent_20,recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,37.79549999999998,50.226,66.85497160645572,39.174225,0.8333333333333334,143.00850000000003,1417.0750000000005,1417.0750000000005,1518.6489509593728
expanding + temperature_trend,expanding,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,45.41180850816915,52.61591835665401,64.14564922567635,40.59626194214526,0.5625,117.28331250000004,1401.9363888989305,1520.84263889893,1596.4351468552663
expanding + temperature_trend,temperature_trend,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,-2.8396090841984645,40.79619788377223,50.21158816352161,30.45179484468922,0.6875,86.80210366815314,-218.32403717467054,346.19841387772004,835.9561612381582
recent_10 + recent_20,recent_10,6,2020,2025,2020;2021;2022;2023;2024;2025,12.511999999999993,46.40800000000004,57.632311041637074,34.94040000000002,0.6666666666666666,107.60999999999996,170.12499999999946,605.5250000000009,690.7347853916164
recent_10 + recent_20,recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,37.79549999999998,50.226,66.85497160645572,39.174225,0.8333333333333334,143.00850000000003,1417.0750000000005,1417.0750000000005,1518.6489509593728
recent_10 + temperature_trend,recent_10,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,24.374437500000006,44.73956250000002,53.5357839375917,34.31821875000001,0.6875,103.8999375,472.5281250000003,889.8281250000006,987.3122542254557
recent_10 + temperature_trend,temperature_trend,16,2010,2025,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,-2.8396090841984645,40.79619788377223,50.21158816352161,30.45179484468922,0.6875,86.80210366815314,-218.32403717467054,346.19841387772004,835.9561612381582
recent_20 + temperature_trend,recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,37.79549999999998,50.226,66.85497160645572,39.174225,0.8333333333333334,143.00850000000003,1417.0750000000005,1417.0750000000005,1518.6489509593728
recent_20 + temperature_trend,temperature_trend,6,2020,2025,2020;2021;2022;2023;2024;2025,-10.005231943315353,51.3753652349503,58.25636815739334,36.29837107667038,0.6666666666666666,104.63169308786844,-177.1144798365224,355.77872296985305,660.0572268015073
expanding + temperature_trend + trend_half_shift + trend_recent_20,expanding,6,2020,2025,2020;2021;2022;2023;2024;2025,44.967079432523974,52.15526125070581,70.55594250348109,41.85344213102598,0.6666666666666666,137.91050000000004,1801.8989718614728,1801.8989718614728,1895.1807858560026
expanding + temperature_trend + trend_half_shift + trend_recent_20,temperature_trend,6,2020,2025,2020;2021;2022;2023;2024;2025,-10.005231943315353,51.3753652349503,58.25636815739334,36.29837107667038,0.6666666666666666,104.63169308786844,-177.1144798365224,355.77872296985305,660.0572268015073
expanding + temperature_trend + trend_half_shift + trend_recent_20,trend_half_shift,6,2020,2025,2020;2021;2022;2023;2024;2025,16.391409055628113,46.77464553133418,58.382115779793416,34.241998274922786,0.8333333333333334,121.6246133344966,309.66886610127887,701.697861681755,736.4082601775011
expanding + temperature_trend + trend_half_shift + trend_recent_20,trend_recent_20,6,2020,2025,2020;2021;2022;2023;2024;2025,-8.485943948581117,51.59497401164202,58.55973102511345,36.32460553177298,0.6666666666666666,114.3114193063304,-145.80005578462354,386.1715668202772,665.2023750188757
