method,prediction_year,n_training_years,predicted_mean,realized_hdd,error,p10,p90,crps,interval_coverage,interval_width,strike,predicted_average_payout_usd,realized_payout_usd,payout_error_usd,positive_payout_frequency
expanding,2010,10,265.848,203.88,61.96800000000002,236.62500000000003,305.664,52.9746,0.0,69.03899999999996,279.28499999999997,892.3500000000024,0.0,892.3500000000024,0.5
recent_10,2010,10,265.848,203.88,61.96800000000002,236.62500000000003,305.664,52.9746,0.0,69.03899999999996,279.28499999999997,892.3500000000024,0.0,892.3500000000024,0.5
temperature_trend,2010,10,240.16012961876845,203.88,36.280129618768456,207.6233102639298,285.76364340175957,29.295319706745,0.0,78.14033313782977,279.28499999999997,159.70926686217297,0.0,159.70926686217297,0.2
trend_half_shift,2010,10,252.88492873900304,203.88,49.00492873900305,225.9441958944283,289.6793217008798,41.33488390029332,0.0,63.73512580645152,279.28499999999997,418.6728739002979,0.0,418.6728739002979,0.3
expanding,2011,11,260.2145454545455,234.80999999999995,25.40454545454554,203.88,303.57,24.097933884297564,1.0,99.69,276.99,915.5454545454548,0.0,915.5454545454548,0.45454545454545453
recent_10,2011,10,258.53700000000003,234.80999999999995,23.72700000000009,196.44899999999998,305.664,23.28210000000003,1.0,109.215,276.99,1007.1000000000004,0.0,1007.1000000000004,0.5
temperature_trend,2011,11,228.30315915755793,234.80999999999995,-6.506840842442017,198.28715542521985,278.9029618768328,12.431673977848334,1.0,80.61580645161297,276.99,37.611570247933265,0.0,37.611570247933265,0.18181818181818182
trend_half_shift,2011,11,244.077792588643,234.80999999999995,9.267792588643061,201.0235777126099,284.6871554252199,12.129140108092397,1.0,83.66357771260999,276.99,317.9152226073029,0.0,317.9152226073029,0.2727272727272727
expanding,2012,12,258.0975,199.29000000000002,58.807500000000005,206.97299999999998,302.241,44.69395833333331,0.0,95.268,268.815,1248.0000000000011,0.0,1248.0000000000011,0.5
recent_10,2012,10,256.30800000000005,199.29000000000002,57.01800000000003,196.44899999999998,305.664,42.34019999999998,1.0,109.215,268.815,1415.850000000001,0.0,1415.850000000001,0.5
temperature_trend,2012,12,225.42948229190165,199.29000000000002,26.13948229190163,194.5527983307015,273.37689690954204,19.043649428528447,1.0,78.82409857884053,268.815,112.1237311076025,0.0,112.1237311076025,0.16666666666666666
trend_half_shift,2012,12,241.57201161741486,199.29000000000002,42.28201161741484,201.7845889916535,281.9410421836228,32.030168856680945,0.0,80.15645319196932,268.815,486.26610083464834,0.0,486.26610083464834,0.4166666666666667
expanding,2013,13,253.57384615384615,192.65999999999997,60.91384615384618,200.20800000000003,300.91200000000003,43.69242603550299,0.0,100.70400000000001,260.64,1529.3076923076937,0.0,1529.3076923076937,0.46153846153846156
recent_10,2013,10,243.78599999999997,192.65999999999997,51.126000000000005,192.318,291.60900000000004,36.09840000000003,1.0,99.29100000000003,260.64,1185.900000000001,0.0,1185.900000000001,0.4
temperature_trend,2013,13,214.47139148692497,192.65999999999997,21.811391486925004,188.00346614675644,263.1634540942928,14.204242651793706,1.0,75.15998794753634,260.64,83.9328388732851,0.0,83.9328388732851,0.15384615384615385
trend_half_shift,2013,13,233.7131720884574,192.65999999999997,41.053172088457444,195.3383140730237,277.1917901453385,29.003769111209458,0.0,81.85347607231478,260.64,575.3958770757772,0.0,575.3958770757772,0.38461538461538464
expanding,2014,14,249.22285714285712,181.58999999999997,67.63285714285715,194.64899999999997,299.583,47.16214285714287,0.0,104.93400000000005,258.87,1508.571428571429,0.0,1508.571428571429,0.5
recent_10,2014,10,232.695,181.58999999999997,51.10500000000002,186.35099999999997,286.17600000000004,34.57650000000001,0.0,99.82500000000007,258.87,827.4000000000002,0.0,827.4000000000002,0.4
temperature_trend,2014,14,201.62246224742992,181.58999999999997,20.032462247429947,178.4622912442396,248.27728500531717,11.964941893524493,1.0,69.81499376107757,258.87,0.0,0.0,0.0,0.0
trend_half_shift,2014,14,224.82782382133988,181.58999999999997,43.2378238213399,190.07520957107405,270.40279099610063,29.77151820167979,0.0,80.32758142502658,258.87,368.08881855471526,0.0,368.08881855471526,0.2857142857142857
expanding,2015,15,244.714,229.11,15.603999999999985,186.01799999999997,298.254,18.435466666666667,1.0,112.23600000000005,257.09999999999997,1490.600000000002,0.0,1490.600000000002,0.4666666666666667
recent_10,2015,10,224.79000000000002,229.11,-4.319999999999993,176.38799999999998,286.17600000000004,15.406800000000004,1.0,109.78800000000007,257.09999999999997,862.8000000000014,0.0,862.8000000000014,0.3
temperature_trend,2015,15,192.16304423963135,229.11,-36.94695576036867,170.85273456221202,238.3873202764978,22.203307465437764,1.0,67.53458571428578,257.09999999999997,0.0,0.0,0.0,0.0
trend_half_shift,2015,15,217.60053133640557,229.11,-11.509468663594447,181.57359331797235,264.9760119815669,11.657991766513057,1.0,83.40241866359455,257.09999999999997,264.23811059908076,0.0,264.23811059908076,0.26666666666666666
expanding,2016,16,243.73874999999998,206.78999999999996,36.94875000000002,187.12499999999997,296.925,24.573046875000017,1.0,109.80000000000004,252.81,1611.9375,0.0,1611.9375,0.5
recent_10,2016,10,222.849,206.78999999999996,16.059000000000026,176.38799999999998,286.17600000000004,13.9341,1.0,109.78800000000007,252.81,991.5000000000003,0.0,991.5000000000003,0.3
temperature_trend,2016,16,196.7642680858634,206.78999999999996,-10.025731914136571,170.03802039848196,243.1671418406073,11.038393008034866,1.0,73.12912144212532,252.81,0.0,0.0,0.0,0.0
trend_half_shift,2016,16,219.62638230846778,206.78999999999996,12.836382308467819,180.81060768500947,265.800120256167,13.117338453028673,1.0,84.98951257115755,252.81,431.2444319259967,0.0,431.2444319259967,0.3125
expanding,2017,17,241.56529411764703,119.28000000000002,122.28529411764701,188.23199999999997,295.596,94.34065743944633,0.0,107.36400000000003,248.52000000000004,1718.9999999999982,0.0,1718.9999999999982,0.47058823529411764
recent_10,2017,10,214.956,119.28000000000002,95.67599999999997,176.38799999999998,282.45,71.18159999999997,0.0,106.06200000000001,248.52000000000004,748.1999999999994,0.0,748.1999999999994,0.2
temperature_trend,2017,17,194.55884487666026,119.28000000000002,75.27884487666024,166.17030455407962,239.55098624288416,58.842209370465355,0.0,73.38068168880454,248.52000000000004,0.0,0.0,0.0,0.0
