scope,model,statistic,quantity,reason,count
target,ecmwf_ifs025,mean,cdd_proxy_f_days,missing_observation,188
target,ecmwf_ifs025,mean,cdd_proxy_f_days,day_not_finished_as_of,164
target,ecmwf_ifs025,mean,cdd_proxy_f_days,day_started_by_cutoff,27
target,ecmwf_ifs025,mean,cdd_proxy_f_days,incomplete_day,24
target,ecmwf_ifs025,mean,cdd_proxy_f_days,missing_members,24
target,ecmwf_ifs025,mean,hdd_proxy_f_days,missing_observation,188
target,ecmwf_ifs025,mean,hdd_proxy_f_days,day_not_finished_as_of,164
target,ecmwf_ifs025,mean,hdd_proxy_f_days,day_started_by_cutoff,27
target,ecmwf_ifs025,mean,hdd_proxy_f_days,incomplete_day,24
target,ecmwf_ifs025,mean,hdd_proxy_f_days,missing_members,24
target,ecmwf_ifs025,mean,hourly_temperature_c,missing_observation,3636
target,ecmwf_ifs025,mean,hourly_temperature_c,target_after_as_of,3636
target,ecmwf_ifs025,mean,hourly_temperature_c,target_not_future_at_cutoff,264
target,ecmwf_ifs025,mean,hourly_temperature_c,invalid_forecast,54
target,ecmwf_ifs025,mean,hourly_temperature_c,missing_members,54
target,ecmwf_ifs025,mean,midpoint_proxy_c,missing_observation,188
target,ecmwf_ifs025,mean,midpoint_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,mean,midpoint_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,mean,midpoint_proxy_c,incomplete_day,24
target,ecmwf_ifs025,mean,midpoint_proxy_c,missing_members,24
target,ecmwf_ifs025,mean,tmax_proxy_c,missing_observation,188
target,ecmwf_ifs025,mean,tmax_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,mean,tmax_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,mean,tmax_proxy_c,incomplete_day,24
target,ecmwf_ifs025,mean,tmax_proxy_c,missing_members,24
target,ecmwf_ifs025,mean,tmin_proxy_c,missing_observation,188
target,ecmwf_ifs025,mean,tmin_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,mean,tmin_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,mean,tmin_proxy_c,incomplete_day,24
target,ecmwf_ifs025,mean,tmin_proxy_c,missing_members,24
target,ecmwf_ifs025,median,cdd_proxy_f_days,missing_observation,188
target,ecmwf_ifs025,median,cdd_proxy_f_days,day_not_finished_as_of,164
target,ecmwf_ifs025,median,cdd_proxy_f_days,day_started_by_cutoff,27
target,ecmwf_ifs025,median,cdd_proxy_f_days,incomplete_day,24
target,ecmwf_ifs025,median,cdd_proxy_f_days,missing_members,24
target,ecmwf_ifs025,median,hdd_proxy_f_days,missing_observation,188
target,ecmwf_ifs025,median,hdd_proxy_f_days,day_not_finished_as_of,164
target,ecmwf_ifs025,median,hdd_proxy_f_days,day_started_by_cutoff,27
target,ecmwf_ifs025,median,hdd_proxy_f_days,incomplete_day,24
target,ecmwf_ifs025,median,hdd_proxy_f_days,missing_members,24
target,ecmwf_ifs025,median,hourly_temperature_c,missing_observation,3636
target,ecmwf_ifs025,median,hourly_temperature_c,target_after_as_of,3636
target,ecmwf_ifs025,median,hourly_temperature_c,target_not_future_at_cutoff,264
target,ecmwf_ifs025,median,hourly_temperature_c,invalid_forecast,54
target,ecmwf_ifs025,median,hourly_temperature_c,missing_members,54
target,ecmwf_ifs025,median,midpoint_proxy_c,missing_observation,188
target,ecmwf_ifs025,median,midpoint_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,median,midpoint_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,median,midpoint_proxy_c,incomplete_day,24
target,ecmwf_ifs025,median,midpoint_proxy_c,missing_members,24
target,ecmwf_ifs025,median,tmax_proxy_c,missing_observation,188
target,ecmwf_ifs025,median,tmax_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,median,tmax_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,median,tmax_proxy_c,incomplete_day,24
target,ecmwf_ifs025,median,tmax_proxy_c,missing_members,24
target,ecmwf_ifs025,median,tmin_proxy_c,missing_observation,188
target,ecmwf_ifs025,median,tmin_proxy_c,day_not_finished_as_of,164
target,ecmwf_ifs025,median,tmin_proxy_c,day_started_by_cutoff,27
target,ecmwf_ifs025,median,tmin_proxy_c,incomplete_day,24
target,ecmwf_ifs025,median,tmin_proxy_c,missing_members,24
target,gfs025,mean,cdd_proxy_f_days,missing_observation,128
target,gfs025,mean,cdd_proxy_f_days,day_not_finished_as_of,104
target,gfs025,mean,cdd_proxy_f_days,day_started_by_cutoff,27
target,gfs025,mean,cdd_proxy_f_days,incomplete_day,24
target,gfs025,mean,cdd_proxy_f_days,missing_members,24
target,gfs025,mean,hdd_proxy_f_days,missing_observation,128
target,gfs025,mean,hdd_proxy_f_days,day_not_finished_as_of,104
target,gfs025,mean,hdd_proxy_f_days,day_started_by_cutoff,27
target,gfs025,mean,hdd_proxy_f_days,incomplete_day,24
target,gfs025,mean,hdd_proxy_f_days,missing_members,24
target,gfs025,mean,hourly_temperature_c,missing_observation,2196
target,gfs025,mean,hourly_temperature_c,target_after_as_of,2196
target,gfs025,mean,hourly_temperature_c,target_not_future_at_cutoff,264
target,gfs025,mean,hourly_temperature_c,invalid_forecast,18
target,gfs025,mean,hourly_temperature_c,missing_members,18
target,gfs025,mean,midpoint_proxy_c,missing_observation,128
target,gfs025,mean,midpoint_proxy_c,day_not_finished_as_of,104
target,gfs025,mean,midpoint_proxy_c,day_started_by_cutoff,27
target,gfs025,mean,midpoint_proxy_c,incomplete_day,24
target,gfs025,mean,midpoint_proxy_c,missing_members,24
target,gfs025,mean,tmax_proxy_c,missing_observation,128
target,gfs025,mean,tmax_proxy_c,day_not_finished_as_of,104
target,gfs025,mean,tmax_proxy_c,day_started_by_cutoff,27
target,gfs025,mean,tmax_proxy_c,incomplete_day,24
target,gfs025,mean,tmax_proxy_c,missing_members,24
target,gfs025,mean,tmin_proxy_c,missing_observation,128
target,gfs025,mean,tmin_proxy_c,day_not_finished_as_of,104
target,gfs025,mean,tmin_proxy_c,day_started_by_cutoff,27
target,gfs025,mean,tmin_proxy_c,incomplete_day,24
target,gfs025,mean,tmin_proxy_c,missing_members,24
target,gfs025,median,cdd_proxy_f_days,missing_observation,128
target,gfs025,median,cdd_proxy_f_days,day_not_finished_as_of,104
target,gfs025,median,cdd_proxy_f_days,day_started_by_cutoff,27
target,gfs025,median,cdd_proxy_f_days,incomplete_day,24
target,gfs025,median,cdd_proxy_f_days,missing_members,24
target,gfs025,median,hdd_proxy_f_days,missing_observation,128
target,gfs025,median,hdd_proxy_f_days,day_not_finished_as_of,104
target,gfs025,median,hdd_proxy_f_days,day_started_by_cutoff,27
target,gfs025,median,hdd_proxy_f_days,incomplete_day,24
target,gfs025,median,hdd_proxy_f_days,missing_members,24
target,gfs025,median,hourly_temperature_c,missing_observation,2196
target,gfs025,median,hourly_temperature_c,target_after_as_of,2196
target,gfs025,median,hourly_temperature_c,target_not_future_at_cutoff,264
target,gfs025,median,hourly_temperature_c,invalid_forecast,18
target,gfs025,median,hourly_temperature_c,missing_members,18
target,gfs025,median,midpoint_proxy_c,missing_observation,128
target,gfs025,median,midpoint_proxy_c,day_not_finished_as_of,104
target,gfs025,median,midpoint_proxy_c,day_started_by_cutoff,27
target,gfs025,median,midpoint_proxy_c,incomplete_day,24
target,gfs025,median,midpoint_proxy_c,missing_members,24
target,gfs025,median,tmax_proxy_c,missing_observation,128
target,gfs025,median,tmax_proxy_c,day_not_finished_as_of,104
target,gfs025,median,tmax_proxy_c,day_started_by_cutoff,27
target,gfs025,median,tmax_proxy_c,incomplete_day,24
target,gfs025,median,tmax_proxy_c,missing_members,24
target,gfs025,median,tmin_proxy_c,missing_observation,128
target,gfs025,median,tmin_proxy_c,day_not_finished_as_of,104
target,gfs025,median,tmin_proxy_c,day_started_by_cutoff,27
target,gfs025,median,tmin_proxy_c,incomplete_day,24
target,gfs025,median,tmin_proxy_c,missing_members,24
target,nws,deterministic,cdd_proxy_f_days,missing_observation,90
target,nws,deterministic,cdd_proxy_f_days,day_not_finished_as_of,72
target,nws,deterministic,cdd_proxy_f_days,incomplete_day,24
target,nws,deterministic,cdd_proxy_f_days,invalid_forecast,24
target,nws,deterministic,cdd_proxy_f_days,day_started_by_cutoff,21
target,nws,deterministic,hdd_proxy_f_days,missing_observation,90
target,nws,deterministic,hdd_proxy_f_days,day_not_finished_as_of,72
target,nws,deterministic,hdd_proxy_f_days,incomplete_day,24
target,nws,deterministic,hdd_proxy_f_days,invalid_forecast,24
target,nws,deterministic,hdd_proxy_f_days,day_started_by_cutoff,21
target,nws,deterministic,hourly_temperature_c,missing_observation,1308
target,nws,deterministic,hourly_temperature_c,target_after_as_of,1308
target,nws,deterministic,hourly_temperature_c,target_not_future_at_cutoff,144
target,nws,deterministic,midpoint_proxy_c,missing_observation,90
target,nws,deterministic,midpoint_proxy_c,day_not_finished_as_of,72
target,nws,deterministic,midpoint_proxy_c,incomplete_day,24
target,nws,deterministic,midpoint_proxy_c,invalid_forecast,24
target,nws,deterministic,midpoint_proxy_c,day_started_by_cutoff,21
target,nws,deterministic,tmax_proxy_c,missing_observation,90
target,nws,deterministic,tmax_proxy_c,day_not_finished_as_of,72
target,nws,deterministic,tmax_proxy_c,incomplete_day,24
target,nws,deterministic,tmax_proxy_c,invalid_forecast,24
target,nws,deterministic,tmax_proxy_c,day_started_by_cutoff,21
target,nws,deterministic,tmin_proxy_c,missing_observation,90
target,nws,deterministic,tmin_proxy_c,day_not_finished_as_of,72
target,nws,deterministic,tmin_proxy_c,incomplete_day,24
target,nws,deterministic,tmin_proxy_c,invalid_forecast,24
target,nws,deterministic,tmin_proxy_c,day_started_by_cutoff,21
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,missing_observation,3636
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,target_after_as_of,3636
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,no_available_persistence_input,2880
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,target_not_future_at_cutoff,264
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,invalid_forecast,54
target,persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,missing_members,54
target,persistence_for_gfs025,persistence,hourly_temperature_c,missing_observation,2196
