observation_time,observation,upstream_receipt,observation_retrieval,available_at,observation_source,quality_status,qc_field,raw_report,observation_file,observation_sha256
2026-08-18 21:51:00+00:00,25.6,2026-08-18 21:54:11.766000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 182151Z 19008KT 10SM FEW020 BKN048 BKN060 BKN250 26/22 A2987 RMK AO2 RAB05E16 SLP116 VCSH S P0000 T02560222 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-18 22:51:00+00:00,25.0,2026-08-18 22:54:06.260000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 182251Z 19008KT 10SM BKN050 BKN070 BKN250 25/23 A2987 RMK AO2 SLP115 T02500228 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-18 23:51:00+00:00,24.4,2026-08-18 23:56:21.522000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,13,METAR KJFK 182351Z COR 19007KT 10SM BKN060 BKN250 24/22 A2988 RMK AO2 SLP119 60000 T02440222 10294 20244 53004 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 00:51:00+00:00,24.4,2026-08-19 00:54:10.053000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190051Z 20008KT 10SM SCT047 BKN060 BKN250 24/22 A2990 RMK AO2 SLP124 T02440222 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 01:51:00+00:00,24.4,2026-08-19 01:54:07.393000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190151Z 20006KT 10SM FEW047 BKN070 BKN250 24/22 A2990 RMK AO2 SLP124 T02440222 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 02:51:00+00:00,24.4,2026-08-19 02:56:56.263000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190251Z 21005KT 10SM FEW050 BKN070 BKN250 24/23 A2990 RMK AO2 SLP124 T02440228 50005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 03:51:00+00:00,23.9,2026-08-19 03:54:08.440000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190351Z 22004KT 10SM FEW055 BKN070 BKN250 24/23 A2989 RMK AO2 SLP122 T02390228 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 04:51:00+00:00,23.3,2026-08-19 04:54:16.527000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190451Z 00000KT 10SM FEW075 SCT250 23/22 A2989 RMK AO2 SLP122 T02330222 402940222 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 05:51:00+00:00,22.8,2026-08-19 05:54:10.857000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190551Z 00000KT 10SM FEW065 SCT250 23/19 A2989 RMK AO2 SLP121 T02280189 10250 20228 56002 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 06:51:00+00:00,23.3,2026-08-19 06:54:10.721000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190651Z 31004KT 10SM BKN070 BKN250 23/15 A2989 RMK AO2 SLP121 T02330150 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 07:51:00+00:00,23.9,2026-08-19 07:54:08.220000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190751Z 33007KT 10SM BKN085 BKN250 24/14 A2989 RMK AO2 SLP121 T02390144 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 08:51:00+00:00,22.2,2026-08-19 08:54:10.527000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190851Z 36005KT 10SM BKN080 BKN250 22/15 A2989 RMK AO2 SLP123 T02220150 53001 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 09:51:00+00:00,22.2,2026-08-19 09:54:18.149000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 190951Z 36004KT 10SM BKN085 BKN250 22/15 A2989 RMK AO2 SLP123 T02220150 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 10:51:00+00:00,22.2,2026-08-19 10:54:09.417000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191051Z 00000KT 10SM FEW032 BKN080 BKN250 22/16 A2991 RMK AO2 SLP126 T02220156 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 11:51:00+00:00,23.9,2026-08-19 11:54:11.486000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191151Z VRB03KT 10SM FEW035 SCT080 SCT250 24/16 A2991 RMK AO2 SLP127 70001 T02390161 10244 20211 53004 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 12:51:00+00:00,25.6,2026-08-19 12:54:14.543000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,4,METAR KJFK 191251Z VRB04KT 10SM FEW038 SCT080 SCT250 26/16 A2991 RMK AO2 SLP127 T02560156,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 13:51:00+00:00,26.7,2026-08-19 13:54:11.183000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191351Z 00000KT 10SM FEW043 FEW080 FEW250 27/17 A2990 RMK AO2 SLP125 T02670167 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 14:51:00+00:00,27.8,2026-08-19 14:54:09.587000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191451Z 17006KT 10SM FEW045 FEW250 28/17 A2990 RMK AO2 SLP125 T02780167 58002 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 15:51:00+00:00,27.8,2026-08-19 15:54:15.705000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191551Z 19009KT 10SM FEW048 FEW250 28/18 A2990 RMK AO2 SLP125 T02780178 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 16:51:00+00:00,27.8,2026-08-19 16:54:14.193000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191651Z 19008KT 10SM SCT050 28/17 A2990 RMK AO2 SLP123 T02780167 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 17:51:00+00:00,28.3,2026-08-19 17:54:10.954000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191751Z 21011KT 10SM SCT055 SCT250 28/18 A2989 RMK AO2 SLP120 T02830183 10283 20239 58005 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 18:51:00+00:00,28.9,2026-08-19 18:54:09.662000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191851Z 19009KT 10SM SCT055 SCT250 29/17 A2988 RMK AO2 SLP118 T02890172 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 19:51:00+00:00,28.3,2026-08-19 19:54:12.857000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 191951Z 20012KT 10SM FEW055 SCT250 28/18 A2988 RMK AO2 SLP116 T02830183 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 20:51:00+00:00,27.2,2026-08-19 20:54:08.585000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192051Z 19011KT 10SM FEW065 FEW090 BKN250 27/18 A2988 RMK AO2 SLP119 T02720183 55002 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
2026-08-19 21:51:00+00:00,27.2,2026-08-19 21:54:08.177000+00:00,2026-09-17 21:00:48.559758+00:00,2026-09-17 21:00:48.559758+00:00,KJFK METAR,basic_screen_pass,12,METAR KJFK 192151Z 21012KT 10SM FEW065 FEW180 BKN250 27/18 A2989 RMK AO2 SLP123 T02720178 $,data/raw/metar/20260917T210048558964Z_KJFK.json,cf0581bbbdb3404d44987dcdb525be549e550d8232469a0ef9e7f0e41ecb47ec
