model,statistic,quantity,lead_bin,matched_targets,unique_target_dates,forecast_snapshots,cutoffs,unique_target_times,bias,mae,rmse,crps,interval_coverage,interval_width
ecmwf_ifs025,mean,hourly_temperature_c,0–24h,220,4,4,11,72,-0.685338680926916,1.1847147950089125,1.3462669795880917,0.8514835203243507,0.44545454545454544,2.036363636363636
ecmwf_ifs025,mean,hourly_temperature_c,24–48h,136,3,3,8,49,-0.23170415224913488,1.1178344867358707,1.2979104206654317,0.7721122532057806,0.6470588235294118,2.7610294117647065
ecmwf_ifs025,mean,hourly_temperature_c,48–72h,63,2,1,4,25,-0.3199502023031436,1.0918145035792097,1.250701419798457,0.7185856477667318,0.9523809523809523,3.66031746031746
ecmwf_ifs025,mean,hourly_temperature_c,3–5d,1,1,1,1,1,-2.250980392156862,2.250980392156862,2.250980392156862,1.4386005382545166,0.0,3.6000000000000014
ecmwf_ifs025,median,hourly_temperature_c,0–24h,220,4,4,11,72,-0.6659090909090909,1.1840909090909089,1.3418271125595873,0.8514835203243507,0.44545454545454544,2.036363636363636
ecmwf_ifs025,median,hourly_temperature_c,24–48h,136,3,3,8,49,-0.191911764705882,1.1183823529411765,1.3145397315723677,0.7721122532057806,0.6470588235294118,2.7610294117647065
ecmwf_ifs025,median,hourly_temperature_c,48–72h,63,2,1,4,25,-0.28730158730158667,1.0968253968253967,1.2667293217586675,0.7185856477667318,0.9523809523809523,3.66031746031746
ecmwf_ifs025,median,hourly_temperature_c,3–5d,1,1,1,1,1,-2.3999999999999986,2.3999999999999986,2.3999999999999986,1.4386005382545166,0.0,3.6000000000000014
gfs025,mean,hourly_temperature_c,0–24h,220,4,4,11,72,0.22214076246334274,0.5802639296187682,0.7117108298766645,0.43255983350676364,0.7227272727272728,1.7995454545454543
gfs025,mean,hourly_temperature_c,24–48h,136,3,3,8,49,-0.12462049335863386,0.5367172675521829,0.6941998617123672,0.42008783742425165,0.9044117647058824,2.510294117647059
gfs025,mean,hourly_temperature_c,48–72h,63,2,1,4,25,-0.979774705581157,1.0381464413722479,1.296319844084114,0.6943742464033824,0.8412698412698413,3.16031746031746
gfs025,mean,hourly_temperature_c,3–5d,1,1,1,1,1,-2.6774193548387117,2.6774193548387117,2.6774193548387117,1.778563995837668,0.0,4.099999999999998
gfs025,median,hourly_temperature_c,0–24h,220,4,4,11,72,0.27681818181818185,0.5986363636363633,0.7364225565653061,0.43255983350676364,0.7227272727272728,1.7995454545454543
gfs025,median,hourly_temperature_c,24–48h,136,3,3,8,49,0.01691176470588236,0.5345588235294118,0.6967888531559278,0.42008783742425165,0.9044117647058824,2.510294117647059
gfs025,median,hourly_temperature_c,48–72h,63,2,1,4,25,-0.8285714285714284,0.9619047619047616,1.248618283963365,0.6943742464033824,0.8412698412698413,3.16031746031746
gfs025,median,hourly_temperature_c,3–5d,1,1,1,1,1,-2.8000000000000007,2.8000000000000007,2.8000000000000007,1.778563995837668,0.0,4.099999999999998
nws,deterministic,hourly_temperature_c,0–24h,220,4,4,11,72,-0.2754040404040407,1.038131313131313,1.2710991470087512,,,
nws,deterministic,hourly_temperature_c,24–48h,136,3,3,8,49,0.04983660130718934,1.2181372549019605,1.3758789360871604,,,
nws,deterministic,hourly_temperature_c,48–72h,63,2,1,4,25,0.694003527336861,1.4425044091710761,1.6921062596552072,,,
nws,deterministic,hourly_temperature_c,3–5d,1,1,1,1,1,-1.0888888888888886,1.0888888888888886,1.0888888888888886,,,
