model,statistic,quantity,lead_bin,matched_targets,unique_target_dates,forecast_snapshots,cutoffs,unique_target_times,bias,mae,rmse,crps,interval_coverage,interval_width
ecmwf_ifs025,mean,hourly_temperature_c,0–24h,150,4,4,11,63,-0.5828235294117647,1.0206274509803919,1.1772292107467413,0.7284070229398947,0.5066666666666667,1.9046666666666674
ecmwf_ifs025,mean,hourly_temperature_c,24–48h,162,3,3,8,46,-0.473347857661583,1.347325102880658,1.5128587994262355,0.9742720036453214,0.43209876543209874,2.4888888888888894
ecmwf_ifs025,mean,hourly_temperature_c,48–72h,96,2,1,4,24,-0.22058823529411764,0.9679738562091508,1.112181049636974,0.6232154299628349,0.9583333333333334,3.391666666666667
ecmwf_ifs025,mean,hourly_temperature_c,3–5d,12,1,1,4,3,-1.6176470588235283,1.6176470588235283,1.6844620902949714,1.0101114955786228,0.6666666666666666,3.600000000000001
ecmwf_ifs025,median,hourly_temperature_c,0–24h,150,4,4,11,63,-0.5526666666666668,1.0179999999999996,1.1662761251093152,0.7284070229398947,0.5066666666666667,1.9046666666666674
ecmwf_ifs025,median,hourly_temperature_c,24–48h,162,3,3,8,46,-0.46296296296296285,1.3691358024691358,1.540121848634703,0.9742720036453214,0.43209876543209874,2.4888888888888894
ecmwf_ifs025,median,hourly_temperature_c,48–72h,96,2,1,4,24,-0.14166666666666602,0.9166666666666666,1.0634064760632846,0.6232154299628349,0.9583333333333334,3.391666666666667
ecmwf_ifs025,median,hourly_temperature_c,3–5d,12,1,1,4,3,-1.7999999999999983,1.7999999999999983,1.8511257835886412,1.0101114955786228,0.6666666666666666,3.600000000000001
gfs025,mean,hourly_temperature_c,0–24h,150,4,4,11,63,0.19051612903225779,0.5887096774193545,0.7013862197147074,0.4278120013874434,0.7,1.61
gfs025,mean,hourly_temperature_c,24–48h,162,3,3,8,46,0.08809239346873737,0.5592194344882521,0.7213484045637665,0.4386531519379247,0.8518518518518519,2.3962962962962964
gfs025,mean,hourly_temperature_c,48–72h,96,2,1,4,24,-0.4961021505376344,0.6471774193548391,0.8363581073927576,0.46973204994797085,0.875,2.7375000000000003
gfs025,mean,hourly_temperature_c,3–5d,12,1,1,4,3,-2.3086021505376353,2.3086021505376353,2.323348887280845,1.4576135969476232,0.6666666666666666,3.999999999999998
gfs025,median,hourly_temperature_c,0–24h,150,4,4,11,63,0.2213333333333334,0.5946666666666662,0.7081431117130675,0.4278120013874434,0.7,1.61
gfs025,median,hourly_temperature_c,24–48h,162,3,3,8,46,0.1839506172839506,0.5864197530864199,0.7548199033012797,0.4386531519379247,0.8518518518518519,2.3962962962962964
gfs025,median,hourly_temperature_c,48–72h,96,2,1,4,24,-0.2833333333333332,0.583333333333333,0.7831560082980487,0.46973204994797085,0.875,2.7375000000000003
gfs025,median,hourly_temperature_c,3–5d,12,1,1,4,3,-2.2999999999999994,2.2999999999999994,2.3273733406281565,1.4576135969476232,0.6666666666666666,3.999999999999998
nws,deterministic,hourly_temperature_c,0–24h,150,4,4,11,63,-0.22948148148148173,0.9533333333333328,1.2173911254249283,,,
nws,deterministic,hourly_temperature_c,24–48h,162,3,3,8,46,-0.01508916323731177,1.2565157750342935,1.39878232149589,,,
nws,deterministic,hourly_temperature_c,48–72h,96,2,1,4,24,0.29259259259259274,1.3842592592592595,1.611685721286111,,,
nws,deterministic,hourly_temperature_c,3–5d,12,1,1,4,3,-0.1999999999999993,0.5481481481481474,0.6974969946983058,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
persistence_for_gfs025,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_gfs025,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_gfs025,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_gfs025,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
persistence_for_nws,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_nws,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_nws,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_nws,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
