model,statistic,quantity,lead_bin,matched_targets,unique_target_dates,forecast_snapshots,cutoffs,unique_target_times,bias,mae,rmse,crps,interval_coverage,interval_width
ecmwf_ifs025,mean,hourly_temperature_c,0–24h,78,4,4,4,63,-0.517722473604827,1.0026897938662644,1.159721417115803,0.7141853724898707,0.5,1.8538461538461548
ecmwf_ifs025,mean,hourly_temperature_c,24–48h,57,3,3,3,46,-0.26006191950464375,1.3369797041623668,1.500069359933011,0.9548041576451701,0.45614035087719296,2.563157894736842
ecmwf_ifs025,mean,hourly_temperature_c,48–72h,24,2,1,1,24,-0.22058823529411745,0.9679738562091508,1.1121810496369742,0.6232154299628349,0.9583333333333334,3.391666666666667
ecmwf_ifs025,mean,hourly_temperature_c,3–5d,3,1,1,1,3,-1.6176470588235279,1.6176470588235279,1.684462090294971,1.010111495578623,0.6666666666666666,3.6
ecmwf_ifs025,median,hourly_temperature_c,0–24h,78,4,4,4,63,-0.4935897435897434,0.9987179487179483,1.1494145667050881,0.7141853724898707,0.5,1.8538461538461548
ecmwf_ifs025,median,hourly_temperature_c,24–48h,57,3,3,3,46,-0.26140350877192975,1.363157894736842,1.537313674346694,0.9548041576451701,0.45614035087719296,2.563157894736842
ecmwf_ifs025,median,hourly_temperature_c,48–72h,24,2,1,1,24,-0.14166666666666602,0.9166666666666666,1.0634064760632846,0.6232154299628349,0.9583333333333334,3.391666666666667
ecmwf_ifs025,median,hourly_temperature_c,3–5d,3,1,1,1,3,-1.7999999999999983,1.7999999999999983,1.8511257835886412,1.010111495578623,0.6666666666666666,3.6
gfs025,mean,hourly_temperature_c,0–24h,78,4,4,4,63,0.22803970223325024,0.5934656741108351,0.7144420475910164,0.43288775047359834,0.6923076923076923,1.5435897435897437
gfs025,mean,hourly_temperature_c,24–48h,57,3,3,3,46,-0.03780418788907737,0.5769100169779293,0.7305114431808832,0.4347116490497836,0.8596491228070176,2.3719298245614033
gfs025,mean,hourly_temperature_c,48–72h,24,2,1,1,24,-0.49610215053763485,0.6471774193548389,0.8363581073927574,0.46973204994797074,0.875,2.7375000000000003
gfs025,mean,hourly_temperature_c,3–5d,3,1,1,1,3,-2.3086021505376366,2.3086021505376366,2.3233488872808468,1.4576135969476234,0.6666666666666666,3.9999999999999987
gfs025,median,hourly_temperature_c,0–24h,78,4,4,4,63,0.2564102564102565,0.597435897435897,0.7195083791675445,0.43288775047359834,0.6923076923076923,1.5435897435897437
gfs025,median,hourly_temperature_c,24–48h,57,3,3,3,46,0.05087719298245612,0.5842105263157895,0.7432739335876626,0.4347116490497836,0.8596491228070176,2.3719298245614033
gfs025,median,hourly_temperature_c,48–72h,24,2,1,1,24,-0.2833333333333332,0.583333333333333,0.7831560082980487,0.46973204994797074,0.875,2.7375000000000003
gfs025,median,hourly_temperature_c,3–5d,3,1,1,1,3,-2.2999999999999994,2.2999999999999994,2.3273733406281565,1.4576135969476234,0.6666666666666666,3.9999999999999987
nws,deterministic,hourly_temperature_c,0–24h,78,4,4,4,63,-0.3159544159544161,0.9840455840455835,1.2463685775934852,,,
nws,deterministic,hourly_temperature_c,24–48h,57,3,3,3,46,0.08421052631578918,1.3068226120857698,1.4644883108315578,,,
nws,deterministic,hourly_temperature_c,48–72h,24,2,1,1,24,0.29259259259259274,1.3842592592592595,1.611685721286111,,,
nws,deterministic,hourly_temperature_c,3–5d,3,1,1,1,3,-0.1999999999999993,0.5481481481481474,0.6974969946983058,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_ecmwf_ifs025,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
persistence_for_gfs025,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_gfs025,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_gfs025,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_gfs025,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
persistence_for_nws,persistence,hourly_temperature_c,0–24h,78,4,4,4,63,0.20256410256410284,2.0384615384615388,2.483329031144097,,,
persistence_for_nws,persistence,hourly_temperature_c,24–48h,57,3,3,3,46,2.3298245614035085,3.435087719298245,3.821178288011687,,,
persistence_for_nws,persistence,hourly_temperature_c,48–72h,24,2,1,1,24,5.224999999999999,5.224999999999999,5.297326369657306,,,
persistence_for_nws,persistence,hourly_temperature_c,3–5d,3,1,1,1,3,2.5333333333333328,2.5333333333333328,2.544274618301517,,,
