window,strike,actual_valid_years,average_payout_usd
all_history,0.0,26,22283.076923076922
all_history,10.0,26,21283.076923076922
all_history,20.0,26,20283.076923076922
all_history,30.0,26,19283.076923076922
all_history,40.0,26,18283.076923076922
all_history,50.0,26,17283.076923076922
all_history,60.0,26,16283.076923076924
all_history,70.0,26,15283.076923076924
all_history,80.0,26,14283.076923076924
all_history,90.0,26,13283.076923076924
all_history,100.0,26,12305.846153846154
all_history,110.0,26,11344.307692307691
all_history,120.0,26,10385.538461538461
all_history,130.0,26,9464.115384615385
all_history,140.0,26,8585.807692307691
all_history,150.0,26,7739.653846153846
all_history,160.0,26,6893.5
all_history,170.0,26,6047.346153846154
all_history,180.0,26,5201.192307692308
all_history,190.0,26,4405.076923076924
all_history,200.0,26,3692.2692307692314
all_history,210.0,26,3074.307692307693
all_history,220.0,26,2509.923076923077
all_history,230.0,26,2013.346153846154
all_history,240.0,26,1571.769230769231
all_history,250.0,26,1158.576923076923
all_history,260.0,26,823.5769230769231
all_history,270.0,26,551.8846153846155
all_history,280.0,26,329.46153846153874
all_history,290.0,26,186.00000000000026
all_history,300.0,26,108.00000000000014
all_history,310.0,26,55.80769230769249
all_history,320.0,26,17.34615384615403
all_history,330.0,26,0.0
all_history,340.0,26,0.0
all_history,350.0,26,0.0
all_history,360.0,26,0.0
all_history,370.0,26,0.0
all_history,380.0,26,0.0
all_history,390.0,26,0.0
all_history,400.0,26,0.0
all_history,410.0,26,0.0
all_history,420.0,26,0.0
all_history,430.0,26,0.0
all_history,440.0,26,0.0
all_history,450.0,26,0.0
all_history,460.0,26,0.0
all_history,470.0,26,0.0
all_history,480.0,26,0.0
all_history,490.0,26,0.0
all_history,500.0,26,0.0
recent_20_calendar_years,0.0,20,20611.35
recent_20_calendar_years,10.0,20,19611.35
recent_20_calendar_years,20.0,20,18611.35
recent_20_calendar_years,30.0,20,17611.35
recent_20_calendar_years,40.0,20,16611.35
recent_20_calendar_years,50.0,20,15611.35
recent_20_calendar_years,60.0,20,14611.35
recent_20_calendar_years,70.0,20,13611.35
recent_20_calendar_years,80.0,20,12611.35
recent_20_calendar_years,90.0,20,11611.35
recent_20_calendar_years,100.0,20,10640.95
recent_20_calendar_years,110.0,20,9690.95
recent_20_calendar_years,120.0,20,8744.55
recent_20_calendar_years,130.0,20,7846.7
recent_20_calendar_years,140.0,20,7004.9
recent_20_calendar_years,150.0,20,6204.9
recent_20_calendar_years,160.0,20,5404.9
recent_20_calendar_years,170.0,20,4604.9
recent_20_calendar_years,180.0,20,3804.9
recent_20_calendar_years,190.0,20,3069.9500000000003
recent_20_calendar_years,200.0,20,2443.3
recent_20_calendar_years,210.0,20,1939.9500000000003
recent_20_calendar_years,220.0,20,1506.25
recent_20_calendar_years,230.0,20,1160.7
recent_20_calendar_years,240.0,20,886.6500000000002
recent_20_calendar_years,250.0,20,642.1
recent_20_calendar_years,260.0,20,442.1000000000001
recent_20_calendar_years,270.0,20,242.10000000000005
recent_20_calendar_years,280.0,20,87.9000000000002
recent_20_calendar_years,290.0,20,1.4000000000001478
recent_20_calendar_years,300.0,20,0.0
recent_20_calendar_years,310.0,20,0.0
recent_20_calendar_years,320.0,20,0.0
recent_20_calendar_years,330.0,20,0.0
recent_20_calendar_years,340.0,20,0.0
recent_20_calendar_years,350.0,20,0.0
recent_20_calendar_years,360.0,20,0.0
